问题,A,B,C,D,答案
360、（）是我们立党立国的根本指导思想，在我国推进中华民族伟大复兴的征程中处处闪耀着真理的光辉。,毛泽东思想,马克思主义,科学社会主义,平均主义,： B
"361、爱国主义包含着情感、思想、行为三个方面,其中灵魂是(   )。",情感,思想,行为,意志,： B
362、1925年召开的中国共产党第四次全国代表大会的中心议题是 ( ),建立统一战线的问题,如何领导即将到来的革命高潮,共产党员、共青团员以个人身份加入中国国民党,强调同资产阶级争夺领导权,： B
363、属于社会理想的是(   )。,科学发展观,社会主义初级阶段,小康社会,中国特色社会主义的共同理想,： D
364、毛泽东提出的实现马克思主义与中国实际的“第二次结合”，就是要(   )。,走出中国自己的社会主义革命道路,走出中国自己的社会主义建设道路,延续“第一次结合”的内容,弥补“第一次结合”的错误,： B
365、时代精神的核心是,体制创新,制度创新,科技创新,改革创新,： D
366、建设现代化经济体系，必须建设创新引领、协同发展的(   )。,产业体系,市场体系,收入分配体系,城乡区域发展体系,： A
367、党的十九届四中全会指出，党和人民在长期实践探索中形成的科学制度体系是指（）。,中国特色社会主义制度,人民代表大会制度,多党合作和政治协商制度,民族区域自治制度,： A
368、“两个一百年”奋斗目标是指,"第一个一百年,是到中国共产党成立100年时全面建成小康社会;第二个一百年,是到建军一百年成为世界第一强大国家。","第一个一百年,是到新中国成立100年时建成富强、民主、文明、和谐的社会主义现代化国家;第二个一百年,是改革开放一百年成为世界强国。","第一个一百年,是改革开放一百年成为世界强国;第二个一百年,是到建军一百年成为世界第一强大国家。","第一个一百年,是到中国共产党成立100年时全面建成小康社会;第二个一百年,是到新中国成立100年时建成富强、民主、文明、和谐的社会主义现代化国家。",： D
"369、在我国社会主义初级阶级,社会主义集体主义道德原则具有多层次的道德要求。其中最基本的道德要求是(   )。",无私奉献、一心为公,损公肥私、损人利己,先公后私、先人后己,公私兼顾、不损公肥私,： D
"370、孔子说,“仁远乎哉?我欲仁,斯仁至矣”,反映的是中华民族(   )优良道德传统。","推崇“仁爱”原则,追求人际和谐","重视道德践履,强调修养的重要性,倡导道德主体要在完善自身中发挥自己的能动作用","讲求谦敬礼让,强调克骄防矜","追求精神境界,把道德理想的实现看成是一种高层次的需要",： B
371、无产阶级政党的组织原则是(   )。,集体领导,理论联系实际,实事求是,民主集中制,： D
372、文化传统是一个民族群体意识的(   )。,体现,载体,本质,内容,： B
373、近代中国第一个领导资产阶级革命的全国性政党是 ( ),兴中会,光复会,强学会,同盟会,： D
374、一九五三年九月，毛泽东在对民主党派和工商界部分代表讲话时指出:改造资本主义工商业和逐步完成社会主义过渡的必经之路是(   )。,剥夺资本家的财产,排挤私营工商业,国家资本主义,保护民族工商业,： C
375、1956年召开的党的代表大会是党的(   )。,七大,八大,九大,十大,： B
376、中国第一个地方共产党组织是 ( ),武汉共产主义小组,广州共产主义小组,上海共产主义小组,北京共产主义小组,： C
377、“代替那存在的阶级和阶级对立的资产阶级旧社会的，将是这样一个联合体，在那里，每个人的自由发展是一切人的自由发展的条件”。这是(   )。,《共产党宣言》中的一段话,《共产主义原理》中的一段话,《哥达纲领批判》中的一段话,《资本论》中的一段话,： A
378、1927年10月，毛泽东率领秋收起义部队开辟的创建农村革命根据地是 ( ),井冈山革命根据地,闽浙赣革命根据地,左右江革命根据地,湘鄂西革命根据地,： A
"379、大革命失败后，点燃""工农武装割据""""星星之火""是指 ( )",中华苏维埃共和国成立,南昌起义,"""八七""会议",井冈山根据地建立,： D
380、习近平总书记在党的十九大报告中指出，中国将“始终做世界和平的（）、全球发展的（）、国际秩序的（）”。,建设者  贡献者  维护者,贡献者  维护者  建设者  ,建设者  维护者  贡献者  ,维护者  建设者  贡献者  ,： A
381、中国共产党早期组织领导的第一个工会是 ( ),上海工人俱乐部,上海机器工会,长辛店工人俱乐部,北京机器工会,：B
382、建设中国特色社会主义文化，必须巩固(   )在意识形态领域的指导地位，牢牢掌握意识形态工作领导权。,西方马克思主义,马克思主义,马克思主义哲学,马克思主义政治经济学,： B
383、下列有关开放型经济发展描述不正确的是（）。 ,经济增长对出口的依赖关系是开放型经济发展的负面效应之一,开放型经济发展给我国带来的负面影响大于正面影响,经济危机开启中国开放型经济发展的新阶段之一,保障和改善中国的民生是中国开放型经济发展的战略目标,： B
384、不属于新民主主义革命时期的统一战线的是(   )。,工农民主统一战线,抗日民族统一战线,人民民主统一战线,新时期爱国统一战线,： D
385、经过长期努力，中国特色社会主义进入了新时代，这是我国发展新的（）。,未来方向,未来方位,历史方向,历史方位,： D
386、中华人民共和国的成立，标志着 ( ),土地革命的彻底完成,新民主主义革命取得了基本的胜利,旧民主主义革命的胜利,无产阶级社会主义革命的胜利,： B
387、全面依法治国的总目标是建设中国特色社会主义法制体系建设,社会主义法治国家,社会主义富强国家,社会主义民主国家,社会主义现代化国家,： A
388、2020年脱贫攻坚任务完成后，我国将有1亿左右贫困人口实现脱贫，这也意味着我国将提前（）实现联合国2030年可持续发展议程的减贫目标。,10年,5年,8年,15年,： A
389、党的十三大提出基本实现我国社会主义现代化的发展战略是(   )。,“三步走”发展战略,“四步走”发展战略,“五步走”发展战略,“全面小康”发展战略,： A
390、坚持中国共产党的领导，就是要坚持党在建设中国特色社会主义事业中的(   )地位，发挥党总揽全局、协调各方的作用。,政治,重要,领导核心,思想领导,： C
391、中国特色社会主义最本质的特征是（）。,“五位一体”总体布局,“四个全面”战略布局,走社会主义道路,中国共产党领导,： D
392、党的十八大以来我们党明确提出的总体国家安全观，坚持国家利益至上，以促进(   )安全为依托。,经济、政治、文化,军事、文化、社会,国内,国际,： D
393、中国历史上最伟大最深刻的社会变革之一是 ( ),中国共产党的成立,社会主义改造的完成,中华人民共和国的成立,十一届三中全会的召开,： B
394、新中国成立初期，除人民解放军在前线的胜利之外，中央人民政府为人民所做的最大的一件工作是 ( ),稳定物价和统一财政工作,镇压反革命,人民币的发行范围扩大到所有解放区,没收官僚资本,： A
395、中国革命和建设取得成功的根本经验是(   )。,独立自主、自力更生,把马克思主义与中国具体实际相结合,武装斗争、党的建设、统一战线,群众路线,： B
396、“三个代表”重要思想提出了党的建设的新要求，必须使全党始终保持(   )的精神状态，不断开拓马克思主义理论发展的新境界。,求真务实,实事求是,积极创新,与时俱进,： D
397、党的十九大提出：从2035年到本世纪中叶，在基本实现现代化的基础上，再奋斗15年，把我国建成（）的社会主义现代化强国。,富强民主文明和谐公平,富强民主文明和谐正义,富强民主文明和谐法治,富强民主文明和谐美丽,： D
398、新时代党的建设总要求是坚持和加强党的全面领导，坚持党要管党、全面从严治党，以(   )为主线。,加强党的长期执政能力建设、先进性和纯洁性建设,党的政治建设,坚定理想信念宗旨,调动全党积极性、主动性、创造性,： A
"399、1935年12月, 中国共产党确定抗日民族统一战线政策的会议是 ( )",晋绥干部会议,瓦窑堡会议,洛川会议,遵义会议,： B
400、实现由新民主主义向社会主义过渡的前提条件是 ( ),帝国主义侵略被打败,封建主义统治被推翻,官僚资本被没收,中华人民共和国的成立,： D
401、十五届五中全会进一步提出，从(   )开始，我国将进入全面建设小康社会、加快推进社会主义现代化的新的发展阶段。,二十世纪前十年,建党一百年,建国一百年,新世纪,： D
402、将“三个代表”重要思想与马克思列宁主义、毛泽东思想和邓小平理论一道确立为党必须长期坚持的指导思想，并写入党章。,十五大,十六大,十七大,十四大,： B
403、党的十八大以来我们党明确提出的总体国家安全观，坚持国家利益至上，以(   )安全为保障。,经济、政治、文化,政治、文化、社会,军事、文化、社会,国内、国际,： C
404、“两个一百年”奋斗目标，即到建党100年时建成(   );到新中国成立100年时基本实现现代化，建成(   )。,小康社会 社会主义现代化国家,大同社会 社会主义现代化国家,和谐社会 社会主义现代化国家,小康社会 共产主义社会,： A
405、党的十三大，第一次比较系统地论述了我国(   )理论。,社会主义初级阶段,经济建设,政治体制改革,文化发展,： A
406、提出经济建设“三步走”战略是在（）。,党的十二大,党的十三大,党的十四大,党的十五大,： B
407、最先在中国大地率先举起马克思主义旗帜的是 ( ),毛泽东,鲁迅,李大钊,陈独秀,： C
408、新中国初期建立社会主义国营经济的主要途径是(   )。,没收帝国主义在华企业,没收官僚资本,赎买民族资产阶级的财产,剥夺地主阶级的财产,： B
409、解放战争时期，明确规定废除封建性及半封建剥削的土地制度的文献是  ( ),《中华人民共和国土地法大纲》,《关于清算、减租及土地问题的指示》,《中国土地法大纲》,《五四指示》,： C
410、近代中国第一个领导资产阶级革命的全国性政党是 ( ),兴中会,光复会,强学会,同盟会,： D
411、一九五三年九月，毛泽东在对民主党派和工商界部分代表讲话时指出:改造资本主义工商业和逐步完成社会主义过渡的必经之路是(   )。,剥夺资本家的财产,排挤私营工商业,国家资本主义,保护民族工商业,： C
412、1956年召开的党的代表大会是党的(   )。,七大,八大,九大,十大,： B
413、中国第一个地方共产党组织是 ( ),武汉共产主义小组,广州共产主义小组,上海共产主义小组,北京共产主义小组,： C
414、1856年的  ( )  是太平天国由盛到衰的转折点,辛酉政变,玄武门之变,天京事变,戊戌政变,： C
415、1927年10月，毛泽东率领秋收起义部队开辟的创建农村革命根据地是 ( ),井冈山革命根据地,闽浙赣革命根据地,左右江革命根据地,湘鄂西革命根据地,： A
"416、大革命失败后，点燃""工农武装割据""""星星之火""是指 ( )",中华苏维埃共和国成立,南昌起义,"""八七""会议",井冈山根据地建立,： D
417、中国共产党早期组织领导的第一个工会是 ( ),上海工人俱乐部,上海机器工会,长辛店工人俱乐部,北京机器工会,： B
418、19世纪40—60年代，马克思的两大发现是(   )。,唯物史观和剩余价值学说,唯物论和辩证法,唯物辩证法和科学社会主义,劳动价值论和科学社会主义,： A
419、鸦片战争后，中国经济逐渐被卷入世界资本主义市场，其对中国的影响不包括  ( ),自给自足的自然经济逐步解体,英国对华输出商品激增,封建地主土地所有制瓦解,西方的先进生产技术逐步传入中国,： C
420、历史表明，(   )是决定国家政权属于什么性质的首要标志。,由哪个阶级对政权实行领导,由哪个阶级进行社会革命,由哪种理论来指导革命,实行何种生产资料所有制,： A
421、帝国主义列强对中国进行文化渗透的主要目的是 ( ),宣扬殖民主义奴化思想，麻醉中国人民的精神，摧毁中国人民的民族自尊心和自信心,干涉中国内政,传播西方文化和科学,进行传教活动,： A
422、1920年，俄共派 ( ) 来华，这对中共的创建起了促进作用,马林,维经斯基,鲍罗廷,布哈林,： B
423、19世纪末，维新变法从一种思潮得以发展成为一场政治运动，关键是： ( ),维新派拥有广泛的阶级基础,维新派把维新变法与救亡图存结合起来,维新派争取到光绪帝的支持,维新派发展资本主义的主张符合历史发展趋势,： B
424、百团大战的指挥者是 ( ),徐向前        ,邓小平,朱德,彭德怀,： D
425、1935年12月，毛泽东作了 ( ) 的报告，系统解决了中国共产党的政治路线上的问题。,《论反对日本帝国主义的策略》,《中国革命战争的战略问题》,《发对本本主义》,《矛盾论》,： A
426、党对农业的社会主义改造采取了循序渐进的步骤，逐步实现过渡。其中第二步是组织(   )。,农业生产变工队,农业生产互助组,初级农业生产合作社,高级农业生产合作社,： C
427、实现中华民族伟大复兴的中国梦的奋斗目标是在（）首次提出的。,2012年11月习近平同志参观《复兴之路》展览时,2012年12月习近平同志到访深圳莲花山公园，瞻仰小平同志铜像时,2012年11月中国共产党第十八次全国代表大会,2012年12月中共中央政治局会议,： A
428、发布下令镇压义和团运动的上谕 ( ),咸丰帝,道光帝,慈禧太后,光绪帝,： C
429、辽沈战役的主要领导人是  ( ),林彪、粟裕,朱德、彭德怀,邓小平、刘伯承,林彪、罗荣桓,： D
430、孙中山所说的政治革命的内容是 ( ),恢复中华,平均地权,创立民国,驱逐鞑虏,： C
431、中国共产党关于社会主义建设道路的探索是(   )开始的。,从探索了工业化的道路后,在对苏联模式弊端已有认识的背景下,从对社会主义社会基本矛盾的认识基础上,从中国社会主义改造道路的实践中,： B
432、党的十九大进一步明确提出，从现在到2020年是全面建成小康社会的（）。,攻坚期,冲刺期,决胜期,收尾期,： C
433、1929年4月制定的《兴国土地法》对《井冈山土地法》的一个原则性纠正是( ),改土地归工农民主政府所有为归农民自己所有,改按人口平分土地为按劳动力分配土地,改没收一切土地为没收一切公共土地及地主阶级的土地,"改""抽多补少"" 为""抽肥补瘦""",： C
434、在抗日战争中，国民党由比较积极地抗战转向消极抗战的标志是 ( ),国民党五届四中全会的召开,国民党五届六中全会的召开,国民党五届五中全会的召开,国民党五届三中全会的召开,： C
435、1922年7月，中国共产党第二次全国代表大会制定了 ( ),同中国国民党建立统一战线的策略,发动武装起义、开展土地革命的方针,坚持共产党领导权和巩固工农联盟的总方针,彻底的反帝反封建的民主革命纲领,： D
436、1949年政协会议上选举的中央人民政府主席是 ( ),周恩来,朱德,刘少奇,毛泽东,： D
437、国共合作北伐的对象中控制东北地区的军阀是 ( ),陈炯明,吴佩孚,张作霖,孙传芳,： C
438、从鸦片战争到辛亥革命期间，中国人民所进行的反帝反封建的斗争 ，属于(   )。,旧民主主义革命范畴,新民主主义革命范畴,过渡时期,新民主主义社会,： A
439、中国人是从 ( ) 后开始真正了解马克思主义的,俄国十月革命,五四运动,新文化运动,辛亥革命,： A
440、下列关于延安整风运动的表述，不准确的是 ( ),为新民主主义革命在全国的胜利奠定了思想基础,"在思想上清算了""左""的和右的错误",确立毛泽东思想为全党的指导思想,"实行了""惩前毖后，治病救人""的方针",： C
441、毛泽东的(   )一文标志着党探索中国社会主义建设道路的良好开端。,《实践论》,《新民主主义论》,《论人民民主专政》,《论十大关系》,： D
442、改革开放后，我国首部宪法诞生于（）。,1980年,1982年,1984年,1987年,： B
443、邓小平在党的(   )开幕词中首次提出中国特色社会主义这一命题。,十一大,十二大,十三大,十四大,： B
444、国共合作之下进行的北伐战争所喊出的 ( ) 口号响彻大江南北,打倒军阀，除列强,外争国权，内惩国贼,打倒土豪，分田地,停止内战，一致对外,： A
"445、""二次革命""的导火线是 ( )",孙中山辞去民国总统,黄兴解散南方的革命军队,宋教仁被暗杀,"袁世凯政府与日本签订""二十一条约""",： C
446、在农业合作化运动中，具有社会主义性质的经济组织形式是  ( ),初级农业生产合作社,农村人民公社,互助组,高级农业生产合作社,： D
447、社会主义从空想到科学的标志是(   )。,《共产党宣言》的发表,“共产主义者同盟”的建立,空想社会主义理论的破灭,无产阶级革命的胜利,： A
"448、日本在沦陷区发动""治安强化运动""和""清乡""的根本目的是 ( )",维护殖民统治,实行特务统治,实行恐怖政策,肃清抗日力量,： A
449、中华人民共和国的成立，标志着 ( ),土地革命的彻底完成,新民主主义革命取得了基本的胜利,旧民主主义革命的胜利,无产阶级社会主义革命的胜利,： B
450、毛泽东提出新民主主义革命的三大法宝的著作是(   )。,《共产党人》发刊词,《论人民民主专政》,《新民主主义论》,《论联合政府》,： A
451、(   )是党对军队绝对领导的最高实现形式。,军委主席负责制,国家主席负责制,首长负责制,党委负责制,： A
452、改革开放之初，首先用“小康”一词来诠释中国式现代化的是（）。,毛泽东,邓小平,周恩来,刘少奇,： B
453、习近平总书记强调，说一千、道一万，（）是关键，这不仅是脱贫攻坚能否打赢的关键，更是激发贫困群众增收的内生动力所在。,增加农民收入,提高农民幸福感,提升农民文化素质,增强农民生产技能,： A
454、20世纪80年代，邓小平为我们勾画了现代化建设“三步走”的战略部署，到20世纪末，我们实现了战略部署的第二步，即（）。,解决温饱问题,总体上达到小康水平,进入全面小康社会,基本实现现代化,： B
455、社会主义建设时期，提出知识分子是工人阶级一部分的观点的党和国家领导人是(   )。,毛泽东,刘少奇,周恩来,朱德,： C
456、党的十九大提出：从2020年到2035年，在全面建成小康社会的基础上，再奋斗15年，（）。,实现社会主义现代化,建成社会主义现代化强国,实现中华民族伟大复兴,基本实现社会主义现代化,： D
457、党的过渡时期总路线的主体是(   )。,三大改造,社会主义革命和社会主义建设同时并举,社会主义工业化建设,对农业的社会主义改造,： C
458、党的十八大提出了到(   )年全面建成小康社会的奋斗目标。,2019,2020,2021,2022,： B
459、在精准扶贫的主要内容中，精准安排扶贫项目，解决的是（）的问题。,“扶持谁”,“谁来扶”,“怎么扶”,“如何退”,： C
460、习近平总书记在参加内蒙古代表团的审议时发表重要讲话指出，我们党没有自己特殊的利益，党在任何时候都把（）放在第一位。,国家利益,群众利益,社会发展,经济利益,： B
461、把握精准扶贫的内涵，要重点理解精准识别、精准帮扶和精准考核。其中，（）是保障。,精准识别,精准帮扶,精准考核,精准施策,： C
462、坚决打赢脱贫攻坚战，让贫困人口和贫困地区同全国一道进入全面小康社会是我们党的（）。,历史使命,脱贫任务,根本目标,庄严承诺,： D
463、现阶段，我国已经初步实现了小康，并正在为建设更高水平的小康社会而奋斗。下列对我国现阶段的小康水平认识正确的是（）。,只是在经济上实现全面小康,是低水平、不全面、发展不平衡的小康,已经实现全面小康，只是水平仍比较低,是少数人的小康，多数人还处于贫困状态,： B
464、习近平总书记在全国宣传思想工作会议上的讲话指出，要把（）作为宣传思想工作的重中之重来抓。,线上线下舆论工作,新闻舆论工作,社会舆论工作,网上舆论工作,： D
465、社会主义分配制度既有利于鼓励先进，促进效率，最大限度激发活力，又有利于防止两极分化，逐步实现共同富裕，使人民群众共享改革发展成果。要有针对性地完善相关制度和政策，坚持和完善社会主义（）制度。,发展,分配,经济,政治,： B
466、使新生的中华人民共和国掌握了国家经济命脉的措施是 ( ),稳定物价，合理调整工商业,没收官僚资本归工人阶级领导的人民共和国所有,赎买民族资本,"开展""三反""、""五反""运动",： B
467、我国按照亲诚惠容理念和（）周边外交方针，深化同周边国家关系。,团结为先、合理斗争,交往与防范并举 ,与邻为善、以邻为伴,少打交道、防范矛盾,： C
468、中国特色社会主义制度具有（）的特点，能够在短时间内集聚起全社会的力量，能够在党组织和党员干部的模范带动作用下调动起全民的力量。,实事求是,集中力量办大事,以人民为中心,与时俱进,： B
469、党的政治建设的首要任务是(   )。,坚定执行党的政治路线，严格遵守政治纪律和政治规矩,保证全党服从中央，坚持党中央权威和集中统一领导,要尊崇党章，严格执行新形势下党内政治生活若干准则,完善和落实民主集中制的各项制度，坚持民主基础上的集中和集中指导下的民主相结合,： B
470、习近平总书记说：“实现中华民族伟大复兴的中国梦，就是要实现（ ），既深深体现了今天中国人的理想，也深深反映了中国人自古以来不懈追求进步的光荣传统。”,社会主义文明发展,共产主义社会,国家富强、民族振兴、人民幸福 ,特色社会主义,： C
471、国家在社会主义初级阶段的基本经济制度是（）。,坚持以公有制为主体，多种所有制经济共同发展,坚持公有制的主体地位,坚持以全民所有制为主体，集体和其他经济成分共同发展,坚持以按劳分配为主体，多种分配方式并存,： A
472、社会经济关系所表现出来的利益决定着道德的基本原则和(     )。,基本功能,基本性质,基本要素,主要规范,： D
473、中国特色社会主义建设道路的探索始于(   )。,毛泽东,邓小平,江泽民,胡锦涛,： A
474、全面建设社会主义现代化国家的进程分两个阶段来安排。第二个阶段，从(   )，在基本实现现代化的基础上，把我国建成富强民主文明和谐美丽的社会主义现代化国家。,2000年到2020年,2018年到2035年,2035年到本世纪中叶,2020年到2035年,： C
475、我国建国初期属于(   )。,新民主主义社会,社会主义社会,资本主义社会,半殖民地半封建社会,： A
476、带领人民群众创造幸福生活，就要坚持以人民为中心的发展思想，以保障和改善(   )为重点，发展各项社会事业。,教育,民生,医疗,工作,： B
477、（）是解决一切问题的总钥匙。,融合,共享,发展,繁荣,： C
478、完善城市群和城镇发展体系，要以（）四大中心城市作为区域发展的核心引擎。,广州、深圳、珠海、中山,香港、澳门、广州、珠海,香港、澳门、广州、中山,香港、澳门、广州、深圳,： D
479、官僚资本企业由人民政府接管后，成为 ( ),社会主义性质的集体经济,新民主主义性质的集体经济,新民主主义性质的国营经济,社会主义性质的国营经济,： D
480、中国共产党 ( ) 将毛泽东思想规定为中国共产党的一切工作的指针。,七届二中全会,第七次全国代表大会,六届六中全会,六届七中全会,： B
481、2014年十八届四中全会通过了(   )，明确提出全面推进依法治国，加快建设法治中国，开启了中国特色社会主义法治道路的新征程。,《关于全面推进依法制国若干重大问题的决定》,《关于全面推进依法治国若干重大问题的决定》,《关于全面推进依法治国若干重大关系问题的决定》,《关于全面推进依宪治国若干重大问题的决定》,： B
482、优化现代化经济体系的空间布局，必须实施好(   )。,创新驱动发展战略,区域协调发展战略,科教兴国战略,人才强国战略,： B
"483、社会主义思想道德建设必须以为人民服务为核心,以集体主义为原则,以(   )。",诚实守信为重点,思想教育为重点,心理健康为重点,理论建设为重点,： A
484、党在过渡时期的总路线和总任务是(   ),无产阶级领导的、人民大众的，反对帝国主义、封建主义、官僚资本主义的革命,在一相当长的时期内，逐步实现国家的社会主义工业化，并逐步实现国家对农业、手工业和资本主义工商业的社会主义改造,鼓足干劲，力争上游，多快好省地建设社会主义,以经济建设为中心，坚持四项基本原则，坚持改革开放，自力更生，艰苦创业，为把中国建设成富强、民主、文明的社会主义现代化国家而奋斗。,： B
485、一九三九年，毛泽东第一次提出新民主主义革命的科学概念的著作是(   )。,《中国革命和中国共产党》,《在晋绥干部会议上的讲话》,《新民主主义论》,《论人民民主专政》,： A
486、习近平总书记强调：“疫情防控不只是医药卫生问题，而是（）的工作，是一个系统工程。”,全过程,全方面,全方位,全人员,： C
487、中国外交政策的宗旨是（）。,追求公正合理的国际秩序,维护我国的发展和繁荣,坚持独立自主、自力更生,维护世界和平、促进共同发展,： D
488、习近平总书记在国际舞台上阐述“一带一路”倡议是在（）。,2012年,2013年,2014年,2015年,： B
489、习近平强调:“谁牵住了(   )这个‘牛鼻子’，谁走好了这步先手棋，谁就能占领先机、赢得优势。”,改革开放,科技创新,社会治理,生产力,： B
490、率先提出“三步走”战略的领导人是（）。,邓小平,江泽民,胡锦涛,习近平,： A
491、党要承担起推动中国社会进步的历史责任，必须始终紧紧抓住(   )这个执政兴国的第一要务,创新,发展,和谐,改革,： B
"492、中国特色社会主义共同理想与共产主义远大理想有着内在的联系,它们之间是(   )。",个人理想和社会理想的关系,职业理想和道德理想的关系,阶段性理想和最终理想的关系,有实现可能性的理想和根本不可能实现的空想的关系,： C
493、社会主义建设时期，提出“我们的目标，是想造成一个又有集中又有民主，又有纪律又有自由，又有统一意志，又有个人心情舒畅、生动活泼，那样一种政治局面，以利于社会主义革命和社会主义建设”思想的党和国家领导人是(   )。,毛泽东,刘少奇,周恩来,朱德,： A
494、下列关于全面小康社会的建设进程的认识，错误的是（）。,是一种不平衡的发展过程,必须保持各地平衡发展，不允许出现贫富不均,支持部分地区率先实现现代化,必须坚持以经济建设为中心,： B
495、在我国，剥削阶级和剥削制度被消灭的标志是(   )。,中华人民共和国的建立,全国大陆的统一,社会主义改造的完成,土地改革的完成,： C
496、下面关于社会主义改造不正确的论述是(   )。,社会主义改造的基本完成标志着社会主义制度在中国的确立,社会主义改造的基本完成实现了中国历史上最广泛最深刻的社会变革,社会主义改造的基本完成为中国的社会主义现代化建设奠定了基础,社会主义改造的基本完成标志中国已经建成了社会主义,： D
497、在社会主义改造中，中国共产党对资本主义工商业所采取的政策是(   )。,利用,没收,限制,和平赎买,： D
498、社会主义各个阶段的划分最终是以(   )为标准。,生产力的发展,生产关系,生产资料的公有制程度,阶级斗争,： A
499、习近平总书记指出，（）是联防联控、群防群治的第一线，也是复工复产的第一线，是确保各项措施落实到位的关键所在。,基层,农村,城市,党组织,： A
500、新中国发展国民经济的第一个五年计划期间是指 ( ),1949-1954年,1952-1956年,1950-1955年,1953-1957年,： D
501、“七一”讲话指出，中国共产党经过90年的奋斗、创造、积累，取得了举世瞩目的发展成就，这些成就归结起来，就是（ ）,、高举了中国特色社会主义旗帜,、开辟了中国特色社会主义道路,、形成了中国特色社会主义理论体系 ,、确立了中国特色社会主义制度,：B
502、毛泽东思想系统回答了（ ）,、如何实现新民主主义革命和社会主义革命的问题,、什么是社会主义、怎样建设社会主义问题,、建设什么样的党、怎样建设党问题,、实现什么样的发展、怎样发展问题,：A
503、回顾90年中国的发展进步，可以得出一个基本结论是（ ）,、办好中国的事情，关键在党,、必须高举中国特色社会主义伟大旗帜,、必须坚持“一个中心、两个基本点”的基本路线,、中国特色社会主义制度为当代中国发展进步提供了根本制度保障,：A
504、中国共产党90年的发展历程告诉我们，政治路线确定之后，( )就是决定因素。,、党,、人民 ,、干部 ,、经济,：C
505、“七一”讲话指出，推进党的制度建设，要坚持以( )为根本、以( )为核心，坚持和完善党的领导制度，改革和完善党的领导方式和执政方式，发展党内民主，积极稳妥推进党务公开，保障党员主体地位和民主权利，完善党代表大会制度和党内选举制度，完善党内民主决策机制，保障党的团结统一，增强党的创造活力，坚决克服违反民主集中制原则的个人独断专行和软弱涣散现象。,、党章 民主集中制 ,、宪法 民主集中制,、党章 人民代表大会制度 ,、宪法 人民代表大会制度,：A
506、( )是第一资源，是国家发展的战略资源。,、土地 ,、人才 ,、黄金 ,、货币,：B
507、以经济建设为中心是（ ）,、立国之本 ,、强国之路 ,、兴国之要 ,、振国之基,：C
508、( )仍然是解决我国所有问题的关键。,、改革 ,、发展 ,、稳定,、党的领导,：B
509、发展社会主义民主政治，必须坚持中国特色社会主义政治发展道路，关键是要（ ）,、坚持党的领导、人民当家作主、依法治国有机统一,、扩大社会主义民主，建设社会主义法治国家，发展社会主义政治文明,、坚持发挥党总揽全局、协调各方的领导核心作用，提高党科学执政、民主执政、依法执政水平，保证党领导人民有效治理国家,、要坚持国家一切权力属于人民，健全民主制度，丰富民主形式，拓宽民主渠道，保证人民依法实行民主选举、民主决策、民主管理、民主监督,：A
（　　）成功推翻了满清政府的统治，结束了中国长达二千余年的封建皇权制度,. 土地革命,. 辛亥革命　　,. 工业革命　　　,. 旧民主主义革命,：B
下面哪一个不是辛亥革命的代表人物( )。,.孙中山　　,.宋教仁　　,.黄兴　　　,、蔡元培　,：　D
国共两党第一次合作推动了全国革命形势的发展，（　　）是国共两党共同进行的一场革命的、正义的战争。,.抗日战争　　,.鸦片战争　　,.甲午战争　　,.北伐战争,：D
513.1905年孙中山创建了我国统一的革命组织（　 ），有力推动了全国资产阶级民主革命运动的发展,.华兴会　　　,.兴中会　　,.光复会　　　,.中国同盟会,"：D
"
514.同盟会的革命纲领是：驱除鞑虏，恢复中华，（　　），平均地权。 ,.建立民国　,.拥护共和　,.民族统一　,．推翻帝制,"：A
"
515.　1905年，在《民报》发刊词中，孙中山把同盟会的革命纲领阐述为 （　　）三大主义，简称为“三民主义”。,族、民权、民主,众、民权、民生,．民主、民众、民生　 　,．民族、民权、民生　,"：A
"
516.　1911年12月，宣布独立的代表在（ 　 ）开会，选举孙中山为中华民国临时大总统,．北京,.武汉,.南京,．南昌　,"：C
"
（　　）年1月1日孙中山在南京宣誓就职，宣告中华民国正式成立。,．1911,．1912,．1913,．1914,"：B
"
辛亥革命时期清政府的皇帝是（　　）。,．慈禧,．光绪,．溥仪　　,．袁世凯,"：C
"
清（　　）三年，即1911年是旧历的辛亥年，历史上把这次革命称为辛亥革命。它推翻了清朝统治，结束了我国两千多年的封建帝制，使民主共和观念深入人心。,．道光,．同治,．光绪　,．宣统,：D
辛亥革命的果实被北洋军阀的首领（ ）窃取了。,．袁世凯 ,．冯国璋 ,．段琪瑞　,．张作霖,"：A
"
标志辛亥革命全面爆发的起义是( )。,．南昌起义,收起义 ,昌起义 ,．百色起义,：C
要想参观辛亥革命遗址，最理想的去处应该是( )。,．武昌　南京 ,津　北京 ,海　广州,．延安　遵义,"：A
"
辛亥革命的评价，不正确的是( )。,民主共和的观念深入人心,族资本主义发展创造了条件,．建立了资产阶级共和国,．推翻了统治中国两千多年的封建制度,"：C
"
中国同盟会在什么地点成立？( )　,.法国巴黎　　,.中国广州,.日本东京,.中国南京,：C
525. 《党章》规定，党员必须坚持 ( )-高于一切，个人利益服从党和人民的利益，吃苦在前，享受在后，克己奉公，多做贡献。,.个人利益-,.局部利益-,.集体利益-,.党和人民的利益,：D
